,formatted_address,latitude,longitude,postcode,Floors,Units,Construction Year,Type,Area
30,"216 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",45.502407,-73.55532590000001,H2Y 1Z9,3.0,,1854.0,Immeuble commercial,261.0
31,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,,1909.0,Autres services d'affaires,31.0
32,"3515 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.508596000000004,-73.574968,H2X 2E7,4.0,94.0,1929.0,Residential,3291.0
33,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,,1909.0,Autres services d'affaires,20.0
34,"3535 Durocher, Montréal, QC H2X 2E7, Canada",45.5087196,-73.57549250000001,H2X 2E7,3.0,6.0,1900.0,Residential,502.0
35,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,,1909.0,Autres services d'affaires,23.0
36,"3547 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.5088334,-73.5757575,H2X 2E7,3.0,15.0,1900.0,Residential,605.0
37,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,,1909.0,Autres services d'affaires,19.0
38,"3553 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.508855600000004,-73.57577540000001,H2X 2E7,8.0,44.0,1960.0,Residential,558.0
39,"3561 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.5089266,-73.5759563,H2X 2E7,4.0,24.0,1928.0,Residential,702.0
40,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,,1909.0,Immeuble commercial,15.0
41,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,,1909.0,Autres services d'affaires,4.0
42,"3575 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.509051899999996,-73.5761069,H2X 2E7,5.0,1.0,1900.0,Residential,79.0
43,"3575 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.509051899999996,-73.5761069,H2X 2E7,1.0,1.0,1900.0,Residential,38.0
44,"3583 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.509138,-73.576262,H2X 2E7,1.0,1.0,1900.0,Residential,33.0
45,"3583 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.509138,-73.576262,H2X 2E7,1.0,1.0,1900.0,Residential,33.0
46,"3583 Rue Durocher, Montréal, QC H2X 2E7, Canada",45.509138,-73.576262,H2X 2E7,1.0,1.0,1900.0,Residential,33.0
47,"3615 Rue Durocher, Montréal, QC H2X 2E9, Canada",45.509545700000004,-73.57718349999998,H2X 2E9,2.0,3.0,1900.0,Residential,208.0
48,"3619 Durocher, Montréal, QC H2X 2E9, Canada",45.509554200000004,-73.5772862,H2X 2E9,2.0,2.0,1900.0,Residential,251.0
49,"3621 Rue Durocher, Montréal, QC H2X 2E9, Canada",45.5095843,-73.5773093,H2X 2E9,2.0,1.0,1900.0,Residential,220.0
50,"3625 Durocher, Montréal, QC H2X 2E9, Canada",45.509606700000006,-73.5773873,H2X 2E9,2.0,2.0,1890.0,Residential,236.0
51,"3635 Durocher, Montréal, QC H2X 2E9, Canada",45.50968820000001,-73.57759990000001,H2X 2E9,2.0,4.0,1870.0,Residential,689.0
52,"3647 Durocher, Montréal, QC H2X 2E9, Canada",45.5098896,-73.57771939999998,H2X 2E9,4.0,16.0,1927.0,Residential,550.0
53,"3649 Durocher, Montréal, QC H2X 2E9, Canada",45.5099714,-73.57790390000001,H2X 2E9,4.0,16.0,1927.0,Residential,475.0
54,"3651 Rue Durocher, Montréal, QC H2X 1T3, Canada",45.5098156,-73.57815269999998,H2X 1T3,4.0,18.0,1927.0,Residential,635.0
55,"285 Place d'Youville, Montréal, QC H2Y 2A4, Canada",45.5016974,-73.5553566,H2Y 2A4,1.0,1.0,1909.0,Residential,32.0
56,"296 Rue Saint-Paul O, Montréal, QC H2Y 2B6, Canada",45.5015495,-73.55562320000001,H2Y 2B6,4.0,,1870.0,Office,271.0
57,"320 Rue Saint-Paul O, Montréal, QC H2Y 2A3, Canada",45.5012927,-73.55605229999999,H2Y 2A3,3.0,6.0,1938.0,Residential,339.0
58,"350 Rue Saint-Paul O, Montréal, QC H2Y 2A6, Canada",45.5011558,-73.5562125,H2Y 2A6,4.0,3.0,1880.0,Residential,341.0
59,"378 Rue Saint-Paul O, Montréal, QC H2Y 2A6, Canada",45.500766,-73.556467,H2Y 2A6,5.0,20.0,1870.0,Residential,1302.0
60,"385 Rue Saint-Paul O, Montréal, QC H2Y 2A6, Canada",45.500780600000006,-73.5567358,H2Y 2A6,1.0,,1908.0,Autres services d'affaires,25.0
61,"387 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50073279999999,-73.5568497,H2Y 2A7,1.0,,1908.0,Autres services d'affaires,102.0
62,"387 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50073279999999,-73.5568497,H2Y 2A7,1.0,,1908.0,Autres services d'affaires,65.0
63,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,28.0
64,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,23.0
65,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,18.0
66,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,20.0
67,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,28.0
68,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,23.0
69,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,17.0
70,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,20.0
71,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,29.0
72,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,24.0
73,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,18.0
74,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,20.0
75,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,28.0
76,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,23.0
77,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,18.0
78,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,20.0
79,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,55.0
80,"389 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.50065619999999,-73.55680389999998,H2Y 2A7,1.0,1.0,1908.0,Residential,50.0
81,"373 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.500980799999994,-73.55673399999998,H2Y 2A7,1.0,1.0,1877.0,Residential,53.0
82,"373 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.500980799999994,-73.55673399999998,H2Y 2A7,1.0,1.0,1877.0,Residential,62.0
83,"373 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.500980799999994,-73.55673399999998,H2Y 2A7,1.0,1.0,1877.0,Residential,61.0
84,"351 Rue Saint-Paul O, Montréal, QC H2Y 2A7, Canada",45.5012169,-73.5564768,H2Y 2A7,4.0,4.0,1875.0,Residential,370.0
85,"235 Rue Saint-Paul O, Montréal, QC H2Y 2A2, Canada",45.50230699999999,-73.555705,H2Y 2A2,3.0,,1870.0,Immeuble commercial,303.0
86,"225 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",45.50240429999999,-73.55561949999999,H2Y 1Z9,4.0,3.0,1900.0,Residential,149.0
87,"231 Rue Saint-Paul O, Montréal, QC H2Y 2A2, Canada",45.502322899999996,-73.555678,H2Y 2A2,4.0,2.0,1862.0,Residential,147.0
88,"221 Rue Saint-Paul O, Montréal, QC H2Y 2A2, Canada",45.502426,-73.555561,H2Y 2A2,4.0,3.0,1900.0,Residential,154.0
89,"215 Rue Saint-Paul O, Montréal, QC H2Y 2A1, Canada",45.50253360000001,-73.55548370000002,H2Y 2A1,4.0,4.0,1900.0,Residential,111.0
90,"1030 Rue de Bleury, Montréal, QC H2Z 1M9, Canada",45.503981,-73.5625511,H2Z 1M9,3.0,,1946.0,Immeuble commercial,811.0
91,"1076 Rue de Bleury, Montréal, QC H2Z 1N1, Canada",45.50453529999999,-73.5634405,H2Z 1N1,3.0,,1910.0,Immeuble commercial,425.0
92,"209 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",45.502625099999996,-73.55545959999998,H2Y 1Z9,5.0,,1916.0,Immeuble commercial,268.0
93,"205 Rue Saint-Paul O, Montréal, QC H2Y 2A1, Canada",45.5026771,-73.55548379999998,H2Y 2A1,3.0,3.0,1901.0,Residential,128.0
94,"201 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",45.5027537,-73.55549090000001,H2Y 1Z9,3.0,1.0,1840.0,Residential,115.0
95,"356 Rue le Moyne, Montréal, QC H2Y 1Y3, Canada",45.501357399999996,-73.5570113,H2Y 1Y3,4.0,1.0,1909.0,Residential,158.0
96,"366 Rue le Moyne, Montréal, QC H2Y 1Y3, Canada",45.501188299999995,-73.5569835,H2Y 1Y3,4.0,3.0,1917.0,Residential,168.0
97,"1250 Rue de Bleury, Montréal, QC H3B 2W4, Canada",45.506032399999995,-73.56668300000003,H3B 2W4,3.0,,1870.0,Immeuble commercial,132.0
98,"1420 Rue de Bleury, Montréal, QC H3A 2J1, Canada",45.506464,-73.567814,H3A 2J1,1.0,,1906.0,Théâtre,1505.0
99,"386 Rue le Moyne, Montréal, QC H2Y 1Y3, Canada",45.5008916,-73.55721849999998,H2Y 1Y3,4.0,7.0,1860.0,Residential,239.0
100,"1434 Rue de Bleury, Montréal, QC H3A 2J1, Canada",45.5066592,-73.5679844,H3A 2J1,3.0,,1943.0,Immeuble commercial,274.0
101,"350 Rue Mayor, Montréal, QC H3A 1N7, Canada",45.50671029999999,-73.5680663,H3A 1N7,4.0,,1987.0,Immeuble commercial,255.0
102,"390 Rue le Moyne, Montréal, QC H2Y 1Y3, Canada",45.5008954,-73.55738199999998,H2Y 1Y3,3.0,,1866.0,Autres services d'affaires,246.0
103,"212 Rue du Saint-Sacrement, Montréal, QC H2Y 1W8, Canada",45.5028783,-73.55628809999999,H2Y 1W8,4.0,2.0,1880.0,Residential,221.0
104,"2050 Rue de Bleury, Montréal, QC H3A 3S1, Canada",45.507515999999995,-73.5697113,H3A 3S1,10.0,,1924.0,Office,2262.0
105,"2100 Rue de Bleury, Montréal, QC H3A 2K3, Canada",45.5077919,-73.570373,H3A 2K3,3.0,,1870.0,Immeuble résidentiel en construction,460.0
106,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,,1904.0,Autres activités de la restauration,30.0
107,"396 Rue de la Concorde, Montréal, QC H3A 1J5, Canada",45.5070011,-73.57077240000001,H3A 1J5,3.0,,1875.0,Immeuble commercial,560.0
108,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,,1904.0,"Autres services immobiliers, financiers et d'assurance",36.0
109,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,17.0
110,"2133 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.5082236,-73.5706403,H3A 2K2,3.0,6.0,1885.0,Residential,209.0
111,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,8.0
112,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,15.0
113,"2127 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.508168299999994,-73.57043370000001,H3A 2K2,3.0,1.0,1915.0,Residential,209.0
114,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,14.0
115,"2123 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.5081271,-73.57052370000001,H3A 2K2,3.0,1.0,1900.0,Residential,210.0
116,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,17.0
117,"2117 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.50810190000001,-73.5704179,H3A 2K2,3.0,1.0,1870.0,Residential,210.0
118,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,8.0
119,"2105 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.508062,-73.5702589,H3A 2K2,3.0,4.0,1910.0,Residential,421.0
120,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,10.0
121,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,13.0
122,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,15.0
123,"2067 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.5079401,-73.56960079999999,H3A 2K2,2.0,,1905.0,Autres bases et réserves militaires,1754.0
124,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,17.0
125,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
126,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
127,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,14.0
128,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,16.0
129,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,17.0
130,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
131,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
132,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,14.0
133,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,16.0
134,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,17.0
135,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
136,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
137,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,14.0
138,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,16.0
139,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,18.0
140,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
141,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
142,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,15.0
143,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,16.0
144,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,18.0
145,"1067 Rue de Bleury, Montréal, QC H2Z 1N1, Canada",45.5045815,-73.562839,H2Z 1N1,3.0,2.0,1870.0,Residential,213.0
146,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,9.0
147,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,11.0
148,"315 Rue de la Gauchetière O, Montréal, QC H2Z 1C8, Canada",45.50451270000001,-73.5627658,H2Z 1C8,2.0,,1998.0,Autres activités religieuses,448.0
149,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,15.0
150,"204 Rue de l'Hôpital, Montréal, QC H2Y 1V8, Canada",45.503252,-73.55668399999998,H2Y 1V8,1.0,1.0,1904.0,Residential,17.0
151,"1025 Rue de Bleury, Montréal, QC H2Z 1M7, Canada",45.504344700000004,-73.56218199999998,H2Z 1M7,10.0,,2007.0,Hôtel (incluant les hôtels-motels),464.0
152,"1021 Rue de Bleury, Montréal, QC H2Z 1M7, Canada",45.504204,-73.5621699,H2Z 1M7,3.0,1.0,1870.0,Residential,234.0
153,"408 Rue Saint-François-Xavier, Montréal, QC H2Y 2S9, Canada",45.502691600000006,-73.5557108,H2Y 2S9,5.0,8.0,1870.0,Residential,279.0
154,"434 Rue Saint-François-Xavier, Montréal, QC H2Y 2T3, Canada",45.503199200000005,-73.55623489999998,H2Y 2T3,1.0,,1865.0,Office,86.0
155,"430 Rue Saint-François-Xavier, Montréal, QC H2Y 2T3, Canada",45.5030903,-73.5562346,H2Y 2T3,1.0,,1865.0,Autres activités de vente au détail (inclus les kiosques d'autres choses que vêtements et accessoires de vêtements),86.0
156,"3422 Av du Parc, Montréal, QC H2X 2H5, Canada",45.508568200000006,-73.57194840000001,H2X 2H5,3.0,,1875.0,Immeuble commercial,276.0
157,"423 Rue Saint Nicolas, Montréal, QC H2Y 2P4, Canada",45.5023192,-73.5561163,H2Y 2P4,4.0,,1880.0,Office,441.0
158,"410 Rue Saint Nicolas, Montréal, QC H2Y 2P5, Canada",45.50202789999999,-73.5562728,H2Y 2P5,7.0,,1901.0,Office,2781.0
159,"451 Rue Saint Jean, Montréal, QC H2Y 2R5, Canada",45.50246930000001,-73.55706889999998,H2Y 2R5,4.0,,1930.0,Immeuble commercial,206.0
160,"3458 Av du Parc, Montréal, QC H2X 2H5, Canada",45.508973700000006,-73.5728085,H2X 2H5,3.0,2.0,1875.0,Residential,211.0
161,"486 Rue Saint Jean, Montréal, QC H2Y 1T3, Canada",45.50286070000001,-73.55789329999999,H2Y 1T3,1.0,,1884.0,Autres activités de la restauration,13.0
162,"3462 Av du Parc, Montréal, QC H2X 2H5, Canada",45.5089966,-73.57295649999999,H2X 2H5,4.0,5.0,1880.0,Residential,208.0
163,"486 Rue Saint Jean, Montréal, QC H2Y 1T3, Canada",45.50286070000001,-73.55789329999999,H2Y 1T3,1.0,,1884.0,"Autres services immobiliers, financiers et d'assurance",27.0
164,"486 Rue Saint Jean, Montréal, QC H2Y 1T3, Canada",45.50286070000001,-73.55789329999999,H2Y 1T3,1.0,,1884.0,Autres activités de vente au détail (inclus les kiosques d'autres choses que vêtements et accessoires de vêtements),63.0
165,"3474 Av du Parc, Montréal, QC H2X 2H5, Canada",45.509181,-73.57327169999998,H2X 2H5,3.0,2.0,1900.0,Residential,251.0
166,"3480 Av du Parc, Montréal, QC H2X 2H5, Canada",45.509125899999994,-73.5734417,H2X 2H5,3.0,6.0,1900.0,Residential,251.0
167,"3486 Av du Parc, Montréal, QC H2X 2H5, Canada",45.5092589,-73.57344590000001,H2X 2H5,3.0,12.0,1900.0,Residential,261.0
168,"3498 Av du Parc, Montréal, QC H2X 2H5, Canada",45.5091901,-73.5736878,H2X 2H5,1.0,,1980.0,Immeuble commercial,531.0
169,"3654 Av du Parc, Montréal, QC H2X 2J1, Canada",45.510769200000006,-73.5767485,H2X 2J1,2.0,2.0,1900.0,Residential,181.0
170,"3678 Av du Parc, Montréal, QC H2X 2J1, Canada",45.5109226,-73.5770696,H2X 2J1,3.0,1.0,1900.0,Residential,242.0
171,"3688 Av du Parc, Montréal, QC H2X 2J1, Canada",45.5109815,-73.5771912,H2X 2J1,1.0,1.0,1900.0,Residential,83.0
