,formatted_address,latitude,longitude,postcode,Height,Floors,Construction Year,Type
85,"628 Rue Saint-Jacques, Montréal, QC H3C 1C7, Canada",45.500518,-73.560845,H3C 1C7,≈431,35.0,2022.0,Autres services professionels
86,"200 Boulevard René-Lévesque O, Montréal, QC H2Z 1X4, Canada",45.5068841,-73.56267079999998,H2Z 1X4,≈431,35.0,,Autres services professionels
87,"2000 Rue Peel #735, Montréal, QC H3A 2W5, Canada",45.50090729999999,-73.5751638,H3A 2W5,≈431,35.0,,Autres services professionels
88,"495 Avenue Viger O, Montréal, QC H2Z 1B1, Canada",45.5023869,-73.5635796,H2Z 1B1,≈418,34.0,2015.0,Residential
89,"701 Côte de la Place d'Armes, Montréal, QC H2Y 2X6, Canada",45.505379,-73.557435,H2Y 2X6,≈406,33.0,,Immeuble commercial
90,"1215 Phillips Square, Montreal, QC H3B, Canada",45.5037934,-73.56805440000002,H3B,≈406,33.0,,Autres services professionels
91,"1255 Rue Peel, Montréal, QC H3B 4V4, Canada",45.5001458,-73.57202640000001,H3B 4V4,≈394,32.0,,Autres services professionels
92,"2250 Rue Guy, Montréal, QC H3H 2M3, Canada",45.496038,-73.5810623,H3H 2M3,≈394,32.0,1971.0,Office
93,"1050 Rue Sherbrooke Ouest, Montréal, QC H3A 2R6, Canada",45.5021442,-73.5756155,H3A 2R6,≈394,32.0,,Residential
94,"999 Boulevard Robert-Bourassa, Montréal, QC H3C 6J7, Canada",45.5009495,-73.56247069999998,H3C 6J7,≈381,31.0,,Autres services professionels
95,"3535 Avenue Papineau, Montréal, QC H2K 4J9, Canada",45.5292461,-73.56634439999998,H2K 4J9,≈369,30.0,,Autres services professionels
96,"350 Rue Prince Arthur O, Montréal, QC H2X 3R4, Canada",45.5101723,-73.57571970000002,H2X 3R4,≈369,30.0,1976.0,Autres services professionels
97,"350 Rue Prince Arthur O, Montréal, QC H2X 3R4, Canada",45.5101723,-73.57571970000002,H2X 3R4,≈369,30.0,1976.0,Autres services professionels
98,"350 Rue Prince Arthur O, Montréal, QC H2X 3R4, Canada",45.5101723,-73.57571970000002,H2X 3R4,≈369,30.0,1976.0,Autres services professionels
99,"1415 Rue St-Hubert, Montréal, QC H2L 3Y9, Canada",45.5157006,-73.5591572,H2L 3Y9,≈369,30.0,1974.0,Residential
100,"475 Avenue du Président-Kennedy, Montréal, QC H3A 1J7, Canada",45.5064658,-73.5714177,H3A 1J7,≈369,30.0,1976.0,Residential
101,"1500 Rue Sherbrooke Ouest, Montréal, QC H3G 1L3, Canada",45.497017,-73.580966,H3G 1L3,≈369,30.0,,Autres services professionels
102,"900 Boulevard de Maisonneuve O, Montréal, QC H3A 0A8, Canada",45.501947,-73.57338899999998,H3A 0A8,≈345,28.0,2017.0,Autres services professionels
103,"0B4, 350 Boulevard de Maisonneuve O, Montreal, Quebec, Canada",45.5069019,-73.56896569999998,,≈345,28.0,2010.0,Autres services professionels
104,"1200 Boulevard de Maisonneuve O, Montréal, QC H3A 0A1, Canada",45.49981070000001,-73.57561240000003,H3A 0A1,≈345,28.0,2005.0,Autres services professionels
105,"1 Rue Quai de l'Horloge, Montréal, QC H2L 5C1, Canada",45.5122503,-73.5458503,H2L 5C1,≈345,28.0,,Office
106,"1100 Rue de la Montagne, Montréal, QC H3G 0A1, Canada",45.4966248,-73.5729448,H3G 0A1,≈332,27.0,2007.0,Residential
107,"Cité du commerce électronique Montréal, Montréal, QC H3G, Canada",45.495564,-73.57227590000002,H3G,≈332,27.0,2003.0,Office
108,"360 Rue Saint-Antoine O, Montréal, QC H2Y 3X4, Canada",45.502858,-73.56037099999998,H2Y 3X4,≈332,27.0,,Residential
109,"1411 du Fort, Montréal, QC H3H 2N7, Canada",45.4917956,-73.58089629999998,H3H 2N7,≈320,26.0,,Autres services professionels
110,"Hôtel Windsor, Montréal, QC H3B 2L2, Canada",45.498938,-73.57106499999998,H3B 2L2,≈320,26.0,,Office
111,"410 Rue Sherbrooke Ouest, Montréal, QC H3A 1B3, Canada",45.5072889,-73.5715558,H3A 1B3,≈320,26.0,1971.0,Residential
112,"1110 Rue Sherbrooke Ouest, Montréal, QC H3A 1G9, Canada",45.50143129999999,-73.57664040000002,H3A 1G9,≈320,26.0,,Residential
113,"2100 Rue de Bleury, Montréal, QC H3A 0H4, Canada",45.5077919,-73.570373,H3A 0H4,≈308,25.0,2019.0,Autres services professionels
114,"1593 Rue Clark, Montréal, QC H2X 2T1, Canada",45.51065420000001,-73.56657309999999,H2X 2T1,≈308,25.0,2019.0,Autres services professionels
115,"1625 Clark, Montréal, QC H2X 2R4, Canada",45.5107777,-73.5667338,H2X 2R4,≈308,25.0,,Autres services professionels
116,"505 Rue Sherbrooke E, Montréal, QC H2L 4N3, Canada",45.51827,-73.566974,H2L 4N3,≈308,25.0,,Residential
117,"1160 Rue Saint Mathieu, Montréal, QC H3H 2P4, Canada",45.49227399999999,-73.57708690000003,H3H 2P4,≈308,25.0,1976.0,Autres services professionels
118,"1210 Rue Stanley, Montréal, QC H3B 2S7, Canada",45.4985074,-73.57227879999998,H3B 2S7,≈295,24.0,2018.0,Autres services professionels
119,"1400 Boulevard René-Lévesque E, Montréal, QC H2L 2M2, Canada",45.51793430000001,-73.55096739999998,H2L 2M2,≈295,24.0,1972.0,Autres services professionels
120,"1193 Place Phillips, Montréal, QC H3B 3C9, Canada",45.50361600000001,-73.56739430000002,H3B 3C9,≈295,24.0,,Residential
121,"2045 Rue Peel, Montréal, QC H3A 1T6, Canada",45.501465,-73.57542,H3A 1T6,≈295,24.0,1967.0,Residential
122,"2045 Rue Peel, Montréal, QC H3A 1T6, Canada",45.501465,-73.57542,H3A 1T6,≈295,24.0,,Residential
123,"1475 Boulevard René-Lévesque O, Montréal, QC H3G 1T8, Canada",45.49451370000001,-73.57469449999998,H3G 1T8,≈283,23.0,,Residential
124,"1650 Avenue Cedar, Montréal, QC H3G 1A4, Canada",45.497115,-73.5886967,H3G 1A4,≈283,23.0,,Autres services professionels
125,"Rue Saint Mathieu, Montréal, QC H3H, Canada",45.493821,-73.57927600000002,H3H,≈283,23.0,,Autres services professionels
126,"1975 Boulevard de Maisonneuve O, Montréal, QC H3H 1K4, Canada",45.49291229999999,-73.5828064,H3H 1K4,≈283,23.0,,Autres services professionels
127,"500 Boulevard de Maisonneuve O, Montréal, QC H3A, Canada",45.5057078,-73.570295,H3A,≈283,23.0,,Autres services professionels
128,"2000 Avenue McGill College, Montréal, QC H3A 3J1, Canada",45.5026306,-73.5735681,H3A 3J1,≈283,23.0,1986.0,Immeuble commercial
129,"500 Rue Sherbrooke Ouest, Montréal, QC H3A 3G6, Canada",45.5061379,-73.57201640000002,H3A 3G6,≈283,23.0,1982.0,Autres services professionels
130,"475 Avenue du Président-Kennedy, Montréal, QC H3A 1J7, Canada",45.5064658,-73.5714177,H3A 1J7,≈283,23.0,,Residential
131,"157 Rue Sherbrooke E, Montréal, QC H2X 1C7, Canada",45.514253,-73.5690168,H2X 1C7,≈283,23.0,,Residential
132,"3463 Rue Sainte Famille, Montréal, QC H2X 2K7, Canada",45.5108059,-73.5719734,H2X 2K7,≈283,23.0,,Residential
133,"Clofts, 375 Rue de la Concorde, Montréal, QC H3A 1J3, Canada",45.5075225,-73.57061340000001,H3A 1J3,≈271,22.0,2018.0,Autres services professionels
134,"208 Rue Saint-Antoine O, Montréal, QC H2Y 0A6, Canada",45.50426640000001,-73.55931620000001,H2Y 0A6,≈271,22.0,2007.0,Residential
135,"270 Rue Saint-Antoine O, Montréal, QC H2Y 0A3, Canada",45.5036061,-73.5595661,H2Y 0A3,≈271,22.0,2009.0,Residential
136,"3470 Rue Stanley, Montréal, QC H3A 1R9, Canada",45.5020988,-73.5796457,H3A 1R9,≈271,22.0,,Autres services professionels
137,"3555 Chemin de la Côte-des-Neiges, Montréal, QC H3H 1V2, Canada",45.49664200000001,-73.584822,H3H 1V2,≈271,22.0,,Autres services professionels
138,"280 Rue Notre-Dame Est, Montréal, QC H2Y 1C5, Canada",45.5087323,-73.55311809999998,H2Y 1C5,≈271,22.0,,Autres services professionels
139,"425 Rue Sherbrooke E, Montréal, QC H2L 1J9, Canada",45.51772039999999,-73.5675716,H2L 1J9,≈271,22.0,,Autres services professionels
140,"455 Boulevard René-Lévesque O, Montréal, QC H2Z 1Z3, Canada",45.504607,-73.56553559999998,H2Z 1Z3,≈271,22.0,1987.0,Autres services professionels
141,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈258,21.0,2014.0,Immeuble commercial
142,"1140 Rue Wellington, Montréal, QC H3C 1V8, Canada",45.492185,-73.5579436,H3C 1V8,≈258,21.0,2019.0,Autres services professionels
143,"990 Rue Ottawa, Montréal, QC H3C 1S3, Canada",45.4949905,-73.5585881,H3C 1S3,≈258,21.0,2015.0,Autres services professionels
144,"1601 Rue Wellington, Montréal, QC H3K 1V7, Canada",45.4841592,-73.55802729999998,H3K 1V7,≈258,21.0,2012.0,Autres services professionels
145,"1200 Rue Saint-Jacques, Montréal, QC H3C 0E9, Canada",45.49509159999999,-73.5661719,H3C 0E9,≈258,21.0,2006.0,Autres services professionels
146,"1280 Rue Saint-Jacques, Montréal, QC H3C 0G1, Canada",45.49446529999999,-73.5666815,H3C 0G1,≈258,21.0,,Autres services professionels
147,"Rue Peel, Montréal, QC, Canada",45.4984043,-73.5697988,,≈258,21.0,1973.0,Autres services professionels
148,"71-B Rue de la Gauchetière O, Montréal, QC H2Z 1C2, Canada",45.507341,-73.560744,H2Z 1C2,≈258,21.0,,Immeuble commercial
149,"1415 Rue St-Hubert, Montréal, QC H2L 3Y9, Canada",45.5157006,-73.5591572,H2L 3Y9,≈258,21.0,1972.0,Residential
150,"1080 Côte du Beaver Hall, Montréal, QC H2Z 1S8, Canada",45.5023571,-73.565488,H2Z 1S8,≈258,21.0,1967.0,Office
151,"900 Boulevard René-Lévesque O, Montréal, QC H3B 4A5, Canada",45.5005463,-73.56828279999998,H3B 4A5,≈258,21.0,1958.0,Immeuble commercial
152,"3407 Rue Peel, Montréal, QC H3A 1W7, Canada",45.502181,-73.57673799999998,H3A 1W7,≈258,21.0,1958.0,Residential
153,"1155 Rue Metcalfe, Montréal, QC H3B 2V6, Canada",45.50026130000001,-73.5703016,H3B 2V6,≈258,21.0,,Autres services professionels
154,"1414 Rue Chomedey, Montréal, QC H3H 0A2, Canada",45.490339,-73.58355999999998,H3H 0A2,≈246,20.0,2013.0,Autres services professionels
155,"1380 Rue Sherbrooke Ouest, Montréal, QC H3G 1J5, Canada",45.4985219,-73.57940009999999,H3G 1J5,≈246,20.0,2006.0,Autres services professionels
156,"1981 Avenue McGill College, Montréal, QC H3A 2W8, Canada",45.5033659,-73.5728887,H3A 2W8,≈246,20.0,1982.0,Immeuble commercial
157,"888 Rue Wellington #405, Montréal, QC H3C 0N1, Canada",45.49626660000001,-73.55550869999998,H3C 0N1,≈246,20.0,,Autres services professionels
158,"1045 Rue Wellington, Montréal, QC H3C 1V6, Canada",45.493739700000006,-73.5572267,H3C 1V6,≈246,20.0,2014.0,Autres services professionels
159,"135 Rue Sherbrooke E, Montréal, QC H2X 1C6, Canada",45.5138542,-73.56919719999998,H2X 1C6,≈246,20.0,,Autres services professionels
160,"1009 Rue de Bleury, Montréal, QC H2Z 0A3, Canada",45.5041023,-73.56199670000002,H2Z 0A3,≈246,20.0,2006.0,Autres services professionels
161,"1212 Avenue des Pins, Montréal, QC H3G 1A9, Canada",45.50275080000001,-73.58316270000002,H3G 1A9,≈246,20.0,1969.0,Autres services professionels
162,"280 Rue Notre-Dame Est, Montréal, QC H2Y 1C5, Canada",45.5087323,-73.55311809999998,H2Y 1C5,≈246,20.0,1972.0,Autres services professionels
163,"550 Rue Sherbrooke Ouest, Montréal, QC H3A 1B9, Canada",45.5057821,-73.57232479999998,H3A 1B9,≈246,20.0,1954.0,Autres services professionels
164,"680 Rue Sherbrooke Ouest, Montréal, QC H3A 0B8, Canada",45.5046157,-73.57298370000002,H3A 0B8,≈246,20.0,1976.0,Autres services professionels
165,"1350 Rue du Fort, Montréal, QC H3H 2R7, Canada",45.4912761,-73.58110309999998,H3H 2R7,≈246,20.0,,Autres services professionels
166,"2055 Rue Saint Mathieu, Montréal, QC H3H 2J2, Canada",45.49492160000001,-73.5807566,H3H 2J2,≈246,20.0,,Autres services professionels
167,"1645 Boulevard de Maisonneuve O, Montréal, QC H3H 2N3, Canada",45.4951663,-73.58029870000001,H3H 2N3,≈246,20.0,,Autres services professionels
168,"1819 Boulevard de Maisonneuve O, Montréal, QC H3H 1K1, Canada",45.4942934,-73.58109509999998,H3H 1K1,≈246,20.0,,Autres services professionels
169,"2175 Boulevard de Maisonneuve O, Montréal, QC H3H 1L5, Canada",45.4913251,-73.58462940000003,H3H 1L5,≈246,20.0,,Residential
170,"1100 Rue de la Montagne, Montréal, QC H3G 0A1, Canada",45.4966248,-73.5729448,H3G 0A1,≈246,20.0,1974.0,Residential
171,"1800 Boulevard René-Lévesque O, Montréal, QC H3H 2H2, Canada",45.4908675,-73.5768142,H3H 2H2,≈246,20.0,,Office
172,"998 Rue Ottawa, Montréal, QC H3C 1S3, Canada",45.4948086,-73.5586616,H3C 1S3,≈246,20.0,1989.0,Immeuble commercial
173,"1201 Boulevard René-Lévesque O, Montréal, QC H3B 2L7, Canada",45.49796250000001,-73.57163609999998,H3B 2L7,≈246,20.0,1974.0,Residential
174,"1659 Rue Sherbrooke Ouest, Montréal, QC H3H 1E3, Canada",45.495737,-73.5828559,H3H 1E3,≈246,20.0,,Residential
175,"612 Rue Saint-Jacques, Montréal, QC H3C 4M8, Canada",45.50085720000001,-73.5604291,H3C 4M8,≈234,19.0,2008.0,Autres services professionels
176,"455 Boulevard René-Lévesque E, Montréal, QC H2L 4Y2, Canada",45.5134126,-73.55806679999998,H2L 4Y2,≈234,19.0,1965.0,Autres services professionels
177,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈234,19.0,,Immeuble commercial
178,"65 Rue Sherbrooke E, Montréal, QC H2X 1C4, Canada",45.51334199999999,-73.56933839999998,H2X 1C4,≈234,19.0,,Autres services professionels
179,"1425 Rue Mackay, Montréal, QC H3G 2H6, Canada",45.4962457,-73.57744040000001,H3G 2H6,≈234,19.0,,Immeuble commercial
180,"315 Boulevard René-Lévesque E, Montréal, QC H2X 3P3, Canada",45.51195790000001,-73.5591573,H2X 3P3,≈234,19.0,1970.0,Autres services professionels
181,"235 Rue Sherbrooke Ouest, Montréal, QC H2X 1X8, Canada",45.50974220000001,-73.5709558,H2X 1X8,≈234,19.0,,Autres services professionels
182,"999 Rue Saint-Urbain, Montréal, QC H2Z 0B4, Canada",45.506716,-73.559799,H2Z 0B4,≈234,19.0,,Residential
183,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈221,18.0,2015.0,Immeuble commercial
